,Final_Grade_f,Total_Points_f,Major,Year,Extra_f ,Exam_1_f,Exam_2_f,Exam_2_AVE_f,Exam_2_Retake_f,Exam_3_f,Exam_Total_f,Final_Exam_f,Final_Exam_Scaled_f,Grade_s,Total_Points_s,Extra_Credit_1_s,Exam_1_s,Exam_2_s,Extra_Credit_2_s,Exam_3_s,Exam_3_Scaled_s,Final_Exam_s,Final_Scaled_s,Avg_of_3_Exams_s,Exam_total_s
67,B+,885.0,Mechanical Engineering,First Year,10.0,193.0,160.0,160.0,157.0,120.0,511.0,12.0,165.0,C,713.0,0.0,141.0,142.0,25.0,105.0,185.71,115.0,194.0,156.0,484.0
68,C,710.0,Engineering,Junior,13.0,111.0,105.0,135.0,165.0,122.0,380.0,8.0,118.0,C-,687.0,1.0,95.0,160.0,20.0,102.0,181.43,95.0,169.0,145.0,487.0
69,C,742.0,Electrical Engineering,Junior,15.0,133.0,97.0,137.0,177.0,112.0,397.0,9.0,129.0,C-,694.0,0.5,149.0,138.0,,107.0,188.57,110.0,188.0,159.0,496.0
70,,,,,,,,,,,,,,,,,40.0,,,,,,,40.0,40.0
71,,,,,,,,,,,,,,D,494.0,2.0,115.0,124.0,5.0,45.0,100.0,60.0,125.0,113.0,352.0
72,,,Engineering,Junior,,,,0.0,,,,,,,,,,,,,,,,,
73,C,734.0,Computer Science,Senior,,127.0,105.0,139.0,173.0,114.0,393.0,10.0,141.0,,,,,,,,,,,,
74,B,862.0,Computer Science,Senior,15.0,157.0,100.0,146.5,193.0,168.0,482.0,12.0,165.0,,,,,,,,,,,,
75,D,635.0,Mechanical Engineering,Sophomore,10.0,139.0,62.0,74.5,87.0,68.0,307.0,8.0,118.0,C-,646.0,0.5,101.0,100.0,10.0,143.0,240.0,70.0,138.0,147.0,488.0
76,,,,,,,,,,,,,,C+,746.0,0.5,110.0,158.0,20.0,116.0,201.43,120.0,200.0,156.0,516.0
77,F,592.0,Information Technology,First Year,,142.0,56.0,61.5,67.0,66.0,298.0,6.0,94.0,,,,,,,,,,,,
78,C,749.0,Biochemistry,Sophomore,,164.0,90.0,90.0,90.0,146.0,443.0,7.0,106.0,,,0.5,67.0,126.0,10.0,,,,,97.0,223.0
79,D,649.0,Computer Science,First Year,0.0,141.0,96.0,96.0,96.0,46.0,331.0,8.0,118.0,,,0.5,76.0,,,,,,,76.0,76.0
80,,,,,,,,,,,,,,B+,874.0,1.0,181.0,142.0,25.0,152.0,252.86,130.0,213.0,192.0,626.0
81,B-,814.0,,,15.0,156.0,131.0,162.0,193.0,138.0,470.0,9.0,129.0,,,,,,,,,,,,
82,C+,773.0,Engineering,Junior,5.0,179.0,125.0,125.0,125.0,100.0,439.0,9.0,129.0,B-,790.0,0.5,110.0,150.0,20.0,138.0,232.86,130.0,213.0,164.0,547.0
83,,,English Language Bridge - GO,Sophomore,,,10.0,10.0,,,,,,,,,,,,,,,,,
84,F,427.0,Undeclared,Junior,,97.0,42.0,42.0,42.0,20.0,192.0,1.0,35.0,,,,,,,,,,,,
85,C-,694.0,Undeclared,First Year,10.0,110.0,80.0,130.0,180.0,104.0,355.0,9.0,129.0,D,542.0,0.0,65.0,96.0,20.0,80.0,150.0,90.0,163.0,104.0,350.0
86,,,,,,,,,,,,,,C,730.0,,148.0,62.0,20.0,100.0,178.57,155.0,244.0,130.0,456.0
87,B,852.0,Chemistry,Sophomore,13.0,175.0,141.0,164.0,187.0,136.0,497.0,10.0,141.0,,,,,,,,,,,,
88,,,,,,,,,,,,,,A,966.0,0.5,116.0,228.0,25.0,172.0,281.43,130.0,213.0,208.0,718.0
89,,,,,,,,,,,,,,C,744.0,1.0,114.0,132.0,25.0,136.0,230.0,110.0,188.0,159.0,521.0
90,,,,,,,,,,,,,,B-,803.0,0.5,133.0,152.0,25.0,150.0,250.0,110.0,188.0,178.0,580.0
